date	Twitter
7/1/14 0:00:00	48.2
7/1/14 0:00:10	53.1
7/1/14 0:00:20	57.8
7/1/14 0:00:30	57.5
7/1/14 0:00:40	57.3
7/1/14 0:00:50	61.7
7/1/14 0:01:00	55.8
7/1/14 0:01:10	48.4
7/1/14 0:01:20	49.8
7/1/14 0:01:30	39.6
7/1/14 0:01:40	49.7
7/1/14 0:01:50	56.8
7/1/14 0:02:00	46.5
7/1/14 0:02:10	42.2
7/1/14 0:02:20	45.3
7/1/14 0:02:30	48.1
7/1/14 0:02:40	51.2
7/1/14 0:02:50	61
7/1/14 0:03:00	50.7
7/1/14 0:03:10	48
7/1/14 0:03:20	51.1
7/1/14 0:03:30	55.7
7/1/14 0:03:40	58.3
7/1/14 0:03:50	55
7/1/14 0:04:00	49
7/1/14 0:04:10	51.7
7/1/14 0:04:20	53.1
7/1/14 0:04:30	55.2
7/1/14 0:04:40	62.3
7/1/14 0:04:50	62.9
7/1/14 0:05:00	69.3
7/1/14 0:05:10	59
7/1/14 0:05:20	54.1
7/1/14 0:05:30	56.5
7/1/14 0:05:40	58.2
7/1/14 0:05:50	52.4
7/1/14 0:06:00	51.6
7/1/14 0:06:10	49.3
7/1/14 0:06:20	52.5
7/1/14 0:06:30	50.5
7/1/14 0:06:40	51.9
7/1/14 0:06:50	47.4
7/1/14 0:07:00	54.1
7/1/14 0:07:10	51.9
7/1/14 0:07:20	57.4
7/1/14 0:07:30	53.7
7/1/14 0:07:40	53.1
7/1/14 0:07:50	57.2
7/1/14 0:08:00	57
7/1/14 0:08:10	56.6
7/1/14 0:08:20	54.6
7/1/14 0:08:30	57.9
7/1/14 0:08:40	59.2
7/1/14 0:08:50	61.1
7/1/14 0:09:00	59.7
7/1/14 0:09:10	64.1
7/1/14 0:09:20	65.3
7/1/14 0:09:30	64.2
7/1/14 0:09:40	62
7/1/14 0:09:50	63.8
7/1/14 0:10:00	64.5
7/1/14 0:10:10	61
7/1/14 0:10:20	62.6
7/1/14 0:10:30	66.2
7/1/14 0:10:40	62.7
7/1/14 0:10:50	63.7
7/1/14 0:11:00	66.4
7/1/14 0:11:10	64.5
7/1/14 0:11:20	65.4
7/1/14 0:11:30	69.4
7/1/14 0:11:40	71.9
7/1/14 0:11:50	74.4
7/1/14 0:12:00	75.9
7/1/14 0:12:10	72.9
7/1/14 0:12:20	72.5
7/1/14 0:12:30	67.2
7/1/14 0:12:40	68.3
7/1/14 0:12:50	67.7
7/1/14 0:13:00	61.9
7/1/14 0:13:10	58.3
7/1/14 0:13:20	61.7
7/1/14 0:13:30	66.7
7/1/14 0:13:40	68.7
7/1/14 0:13:50	72.2
7/1/14 0:14:00	72.6
7/1/14 0:14:10	69.2
7/1/14 0:14:20	66.9
7/1/14 0:14:30	66.7
7/1/14 0:14:40	67.7
7/1/14 0:14:50	68.5
7/1/14 0:15:00	67.5
7/1/14 0:15:10	64.2
7/1/14 0:15:20	61.7
7/1/14 0:15:30	66.4
7/1/14 0:15:40	77.9
7/1/14 0:15:50	88.3
7/1/14 0:16:00	82.2
7/1/14 0:16:10	77
7/1/14 0:16:20	75.4
7/1/14 0:16:30	70.9
7/1/14 0:16:39	65.9
7/1/14 0:16:49	73.5
