date	Twitter	Facebook
7/1/14 0:00:00	48.2	47.1
7/1/14 0:00:10	53.1	45.8
7/1/14 0:00:20	57.8	49.7
7/1/14 0:00:30	57.5	51.4
7/1/14 0:00:40	57.3	51.4
7/1/14 0:00:50	61.7	48.4
7/1/14 0:01:00	55.8	49
7/1/14 0:01:10	48.4	46.4
7/1/14 0:01:20	49.8	49.7
7/1/14 0:01:30	39.6	54.1
7/1/14 0:01:40	49.7	54.6
7/1/14 0:01:50	56.8	52.3
7/1/14 0:02:00	46.5	54.5
7/1/14 0:02:10	42.2	56.2
7/1/14 0:02:20	45.3	51.1
7/1/14 0:02:30	48.1	50.5
7/1/14 0:02:40	51.2	52.2
7/1/14 0:02:50	61	50.6
7/1/14 0:03:00	50.7	47.9
7/1/14 0:03:10	48	47.4
7/1/14 0:03:20	51.1	49.4
7/1/14 0:03:30	55.7	50
7/1/14 0:03:40	58.3	51.3
7/1/14 0:03:50	55	53.8
7/1/14 0:04:00	49	52.9
7/1/14 0:04:10	51.7	53.9
7/1/14 0:04:20	53.1	50.2
7/1/14 0:04:30	55.2	50.9
7/1/14 0:04:40	62.3	51.5
7/1/14 0:04:50	62.9	51.9
7/1/14 0:05:00	69.3	53.2
7/1/14 0:05:10	59	53
7/1/14 0:05:20	54.1	55.1
7/1/14 0:05:30	56.5	55.8
7/1/14 0:05:40	58.2	58
7/1/14 0:05:50	52.4	52.8
7/1/14 0:06:00	51.6	55.1
7/1/14 0:06:10	49.3	57.9
7/1/14 0:06:20	52.5	57.5
7/1/14 0:06:30	50.5	55.3
7/1/14 0:06:40	51.9	53.5
7/1/14 0:06:50	47.4	54.7
7/1/14 0:07:00	54.1	54
7/1/14 0:07:10	51.9	53.4
7/1/14 0:07:20	57.4	52.7
7/1/14 0:07:30	53.7	50.7
7/1/14 0:07:40	53.1	52.6
7/1/14 0:07:50	57.2	53.4
7/1/14 0:08:00	57	53.1
7/1/14 0:08:10	56.6	56.5
7/1/14 0:08:20	54.6	55.3
7/1/14 0:08:30	57.9	52
7/1/14 0:08:40	59.2	52.4
7/1/14 0:08:50	61.1	53.4
7/1/14 0:09:00	59.7	53.1
7/1/14 0:09:10	64.1	49.9
7/1/14 0:09:20	65.3	52
7/1/14 0:09:30	64.2	56
7/1/14 0:09:40	62	53
7/1/14 0:09:50	63.8	51
7/1/14 0:10:00	64.5	51.4
7/1/14 0:10:10	61	52.2
7/1/14 0:10:20	62.6	52.4
7/1/14 0:10:30	66.2	54.5
7/1/14 0:10:40	62.7	52.8
7/1/14 0:10:50	63.7	53.9
7/1/14 0:11:00	66.4	56.5
7/1/14 0:11:10	64.5	54.7
7/1/14 0:11:20	65.4	52.5
7/1/14 0:11:30	69.4	52.1
7/1/14 0:11:40	71.9	52.2
7/1/14 0:11:50	74.4	52.9
